MD1 	 MD2	 DMP 	 DM3 	 Br(h2->e+e-h1) 	 Br(h2->mu+mu-h1) 	 Br(h2->tau+tau-h1) 	 Br(h2->n+n-h1) 	 Br(h2->Zh1) 	 Br(Z->e+e-) 	 Br(Z->mu+mu-) 	 Br(Z->tau+tau-) 	 Br(Z->n+n-)
7.873371e+02 	8.225108e+02 	2.435049e+01 	1.082323e+01 	3.489094e-02 	3.488907e-02 	3.432015e-02 	6.897166e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
7.372153e+01 	1.582117e+02 	6.742720e+01 	1.706300e+01 	3.442025e-02 	3.441562e-02 	3.421957e-02 	6.804122e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.053848e+01 	8.785444e+01 	4.647094e+01 	2.084502e+01 	3.396067e-02 	3.396001e-02 	3.374833e-02 	6.713275e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
8.736359e+01 	1.692172e+02 	2.955834e+01 	5.229532e+01 	2.779101e-02 	2.779057e-02 	2.765650e-02 	5.493668e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.568449e+01 	1.064676e+02 	4.670207e+01 	3.408104e+01 	3.263792e-02 	3.263740e-02 	3.247585e-02 	6.451796e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
7.700140e+02 	8.275786e+02 	1.552703e+01 	4.203759e+01 	2.343368e-02 	2.343308e-02 	2.324913e-02 	4.632319e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
9.144242e+01 	1.256449e+02 	1.011073e+01 	2.409174e+01 	2.375859e-02 	2.375726e-02 	2.335372e-02 	4.696547e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.304016e+01 	8.718788e+01 	6.025334e+01 	1.389438e+01 	3.443920e-02 	3.443861e-02 	3.424755e-02 	6.807868e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.464431e+02 	3.057473e+02 	1.955347e+01 	3.975071e+01 	2.616620e-02 	2.616557e-02 	2.596839e-02 	5.172479e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.386105e+01 	1.770594e+02 	8.192570e+01 	7.127268e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.921197e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.433263e+01 	1.435958e+02 	4.831859e+01 	8.094454e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.287196e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.567512e+02 	7.053447e+02 	3.373832e+01 	1.485515e+01 	3.452404e-02 	3.452294e-02 	3.418034e-02 	6.824640e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.978179e+02 	3.462584e+02 	2.215220e+01 	2.628834e+01 	3.118750e-02 	3.118651e-02 	3.087581e-02 	6.165081e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
8.294727e+02 	9.002851e+02 	4.504236e+01 	2.577000e+01 	3.410705e-02 	3.410639e-02 	3.390292e-02 	6.742208e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.592582e+02 	2.710204e+02 	7.291726e+01 	3.884493e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.993280e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
7.648928e+02 	8.486066e+02 	6.877009e+01 	1.494373e+01 	3.442599e-02 	3.442145e-02 	3.422366e-02 	6.805258e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.823426e+01 	1.410684e+02 	2.366302e+01 	9.917114e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	4.165880e-01 	3.438572e-02 	3.438544e-02 	3.430831e-02 	6.797296e-02 
3.126128e+01 	1.093731e+02 	6.159776e+01 	1.651405e+01 	3.440272e-02 	3.440215e-02 	3.422383e-02 	6.800656e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
8.456257e+01 	1.791721e+02 	3.480693e+01 	5.980258e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999999e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
