MD1	DMP	DM3	CrossSection_fb	~h2->e1,E1,~h1	~h2->e2,E2,~h1	~h2->e3,E3,~h1	~h-->N1,e1,~h1	~h-->N2,e2,~h1	~h-->N3,e3,~h1	~h+->n1,E1,~h1	~h+->n2,E2,~h1	~h+->n3,E3,~h1
40	100	10	2.179500e+01	NaN	NaN	NaN	2.471800e-02	2.474200e-02	2.468200e-02	2.473000e-02	2.468500e-02	2.473700e-02
40	110	10	1.860800e+01	NaN	NaN	NaN	4.682100e-02	4.723000e-02	4.700200e-02	4.695000e-02	4.710900e-02	4.693300e-02
40	120	10	1.609700e+01	NaN	NaN	NaN	7.531100e-02	7.481700e-02	7.467300e-02	7.532900e-02	7.523800e-02	7.513800e-02
40	20	10	1.207500e+02	NaN	NaN	NaN	3.982000e-07	3.978500e-07	3.828800e-07	3.980800e-07	3.980400e-07	3.826800e-07
40	30	10	9.186000e+01	NaN	NaN	NaN	2.835800e-06	2.838000e-06	2.789200e-06	2.837700e-06	2.838600e-06	2.789600e-06
40	40	10	7.135000e+01	NaN	NaN	NaN	1.164400e-05	1.163900e-05	1.152500e-05	1.164600e-05	1.163700e-05	1.152700e-05
40	50	10	5.644100e+01	NaN	NaN	NaN	3.605200e-05	3.601500e-05	3.579800e-05	3.603000e-05	3.604000e-05	3.582600e-05
40	60	10	4.546100e+01	NaN	NaN	NaN	9.636800e-05	9.633400e-05	9.595100e-05	9.642200e-05	9.633000e-05	9.598800e-05
40	70	10	3.710700e+01	NaN	NaN	NaN	2.476000e-04	2.477800e-04	2.470800e-04	2.477100e-04	2.477400e-04	2.472400e-04
40	80	10	3.074200e+01	NaN	NaN	NaN	8.657200e-04	8.661300e-04	8.634500e-04	8.662300e-04	8.658000e-04	8.635500e-04
40	90	10	2.573700e+01	NaN	NaN	NaN	8.747300e-03	8.727300e-03	8.744300e-03	8.753900e-03	8.746500e-03	8.739600e-03
50	10	10	1.633400e+02	NaN	NaN	NaN	1.370100e-08	1.368500e-08	1.176400e-08	1.370400e-08	1.368100e-08	1.176500e-08
50	100	10	2.182000e+01	NaN	NaN	NaN	2.473300e-02	2.472900e-02	2.470200e-02	2.470200e-02	2.470300e-02	2.470700e-02
50	110	10	1.860600e+01	NaN	NaN	NaN	4.714200e-02	4.694400e-02	4.698200e-02	4.682800e-02	4.698500e-02	4.685400e-02
50	120	10	1.608700e+01	NaN	NaN	NaN	7.511700e-02	7.534700e-02	7.516100e-02	7.525200e-02	7.454400e-02	7.521700e-02
50	20	10	1.210300e+02	NaN	NaN	NaN	3.980500e-07	3.978800e-07	3.828200e-07	3.979600e-07	3.978100e-07	3.826600e-07
50	30	10	9.180600e+01	NaN	NaN	NaN	2.839800e-06	2.838400e-06	2.790400e-06	2.839000e-06	2.838200e-06	2.787100e-06
